catagory,type,sample,temperature
manmade,metal,aluminum_1,350.6
manmade,metal,aluminum_2,311.2
manmade,metal,aluminum_3,311.8
manmade,metal,aluminum_foil_1,265.7
manmade,metal,black_matte_metal_1,320.9
manmade,metal,black_matte_metal_2,331.7
manmade,metal,corrugated_metal_1,295.0
manmade,metal,corrugated_metal_2,310.1
manmade,metal,corrugated_metal_3,316.1
manmade,metal,iron_plate_1,312.2
manmade,metal,polished_metal_1,294.9
manmade,metal,polished_metal_2,301.8
manmade,metal,semi_polshed_metal_1,315.2
manmade,metal,semi_polshed_metal_2,308.6
manmade,other,green_paint_1,318.8
manmade,other,posterboard_1,300.1
manmade,other,posterboard_2,301.6
manmade,other,posterboard_3,295.5
manmade,other,posterboard_4,295.8
manmade,other,roofing_rubber_1,329.5
manmade,other,roofing_rubber_2,317.2
manmade,other,silicon_rubber_1,322.2
manmade,other,silicon_rubber_2,324.6
manmade,other,silicon_rubber_3,289.4
manmade,other,styrofoam_1,338.2
manmade,other,tan_paint_1,288.0
manmade,textile,black_plastic_1,304.2
manmade,textile,black_plastic_2,303.5
manmade,textile,black_plastic_3,322.4
manmade,textile,black_plastic_4,349.1
manmade,textile,black_silt_screen_1,300.0
manmade,textile,black_silt_screen_2,344.6
manmade,textile,black_silt_screen_dull_1,311.1
manmade,textile,black_silt_screen_shiny_1,306.5
manmade,textile,black_speaker_cloth_1,307.0
manmade,textile,blue_tarp_1,317.7
manmade,textile,blue_tarp_2,310.6
manmade,textile,blue_tarp_3,300.8
manmade,textile,blue_tarp_dew_1,294.7
manmade,textile,burlap_1,300.5
manmade,textile,camo_canvas_1,317.3
manmade,textile,camo_canvas_2,309.0
manmade,textile,fall_woodland_camo_1,265.0
manmade,textile,fall_woodland_camo_2,278.5
manmade,textile,green_canvas_1,311.1
manmade,textile,green_canvas_2,308.0
manmade,textile,green_cotton_1,283.2
manmade,textile,green_kevlar_1,292.8
manmade,textile,green_nylon_1,280.3
manmade,textile,nylon_poncho_1,311.7
manmade,textile,nylon_poncho_2,308.4
manmade,textile,tyvek_1,299.3
manmade,textile,white_drop_cloth_1,322.8
manmade,textile,white_drop_cloth_2,306.2
manmade,textile,white_drop_cloth_3,300.3
manmade,textile,white_drop_cloth_4,294.0
manmade,textile,white_drop_cloth_5,301.3
manmade,textile,white_polyester_1,308.1
manmade,textile,white_polyester_2,304.2
manmade,textile,white_polyester_3,298.9
manmade,textile,woven_monofilament_netting_1,341.9
manmade,textile,yellow_canvas_1,284.9
manmade,wood,plywood_1,306.7
manmade,wood,plywood_2,310.7
natural,geologic,anthracite_coal_1,311.0
natural,geologic,bituminous_coal_1,315.4
natural,geologic,concrete_1,308.1
natural,geologic,concrete_2,306.8
natural,geologic,dolomite_1,298.7
natural,geologic,dolomitic_limestone_1,277.1
natural,geologic,dolomitic_limestone_2,297.5
natural,geologic,lignite_coal_1,307.9
natural,geologic,limestone_1,309.8
natural,geologic,marble_chips_1,306.3
natural,geologic,marble_chips_2,300.3
natural,geologic,marble_chips_3,297.4
natural,geologic,quartzite_1,312.5
natural,geologic,sub_bituminous_coal_1,356.9
natural,other,human_skin_1,359.7
natural,other,ice_water_1,267.2
natural,other,ice_water_2,273.6
natural,other,water_1,297.4
natural,soil,background_soil_1,310.2
natural,soil,background_soil_2,318.4
natural,soil,background_soil_dew_1,294.3
natural,soil,background_soil_wet_1,298.8
natural,soil,coarse_sand_1,319.8
natural,soil,coarse_sand_oil_1,327.1
natural,soil,fine_sand_1,314.4
natural,soil,fine_sand_oil_1,321.4
natural,soil,fine_silt_1,321.6
natural,soil,gravel_1,325.0
natural,soil,gravel_2,301.0
natural,soil,gravel_3,316.4
natural,soil,loose_road_1,308.1
natural,soil,loose_road_2,313.4
natural,soil,play_sand_1,312.7
natural,soil,play_sand_2,317.6
natural,soil,play_sand_3,309.4
natural,soil,play_sand_4,301.3
natural,soil,playa_1,291.5
natural,soil,playa_2,293.0
natural,soil,playa_3,296.0
natural,soil,playa_4,298.2
natural,soil,quartz_sand_1,282.8
natural,soil,road_1,333.0
natural,soil,road_2,310.7
natural,soil,road_3,323.3
natural,soil,road_4,299.9
natural,soil,road_5,306.8
natural,soil,road_6,308.9
natural,soil,road_7,305.7
natural,soil,sand_2,326.9
natural,soil,sand_3,328.5
natural,soil,sand_4,314.4
natural,soil,tuft_fresh_1,322.1
natural,soil,tuft_weathered_1,304.0
natural,soils,sand_1,310.8
natural,vegetation,bush_1,316.5
natural,vegetation,canopy_debris_1,288.8
natural,vegetation,canopy_debris_dew_1,294.8
natural,vegetation,grass_1,324.6
natural,vegetation,grass_dew_1,295.8
natural,vegetation,ironwood_needles_1,319.2
natural,vegetation,plants_1,295.2
natural,vegetation,plants_dew_1,292.0
natural,vegetation,waxy_leaf_1,325.4
