catagory,type,sample,temperature
manmade,metal,aluminum_1,360.9
manmade,metal,aluminum_2,338.8
manmade,metal,aluminum_3,326.3
manmade,metal,aluminum_foil_1,360.9
manmade,metal,black_matte_metal_1,319.7
manmade,metal,black_matte_metal_2,333.6
manmade,metal,corrugated_metal_1,360.9
manmade,metal,corrugated_metal_2,360.9
manmade,metal,corrugated_metal_3,340.4
manmade,metal,iron_plate_1,312.6
manmade,metal,polished_metal_1,360.9
manmade,metal,polished_metal_2,360.9
manmade,metal,semi_polshed_metal_1,331.4
manmade,metal,semi_polshed_metal_2,360.9
manmade,other,green_paint_1,294.4
manmade,other,posterboard_1,299.9
manmade,other,posterboard_2,301.5
manmade,other,posterboard_3,294.2
manmade,other,posterboard_4,295.7
manmade,other,roofing_rubber_1,326.7
manmade,other,roofing_rubber_2,319.9
manmade,other,silicon_rubber_1,322.7
manmade,other,silicon_rubber_2,328.7
manmade,other,silicon_rubber_3,360.9
manmade,other,styrofoam_1,329.6
manmade,other,tan_paint_1,290.4
manmade,textile,black_plastic_1,299.2
manmade,textile,black_plastic_2,303.2
manmade,textile,black_plastic_3,321.6
manmade,textile,black_plastic_4,325.4
manmade,textile,black_silt_screen_1,299.6
manmade,textile,black_silt_screen_2,319.1
manmade,textile,black_silt_screen_dull_1,297.5
manmade,textile,black_silt_screen_shiny_1,301.3
manmade,textile,black_speaker_cloth_1,306.9
manmade,textile,blue_tarp_1,318.0
manmade,textile,blue_tarp_2,309.3
manmade,textile,blue_tarp_3,360.9
manmade,textile,blue_tarp_dew_1,294.2
manmade,textile,burlap_1,299.7
manmade,textile,camo_canvas_1,317.8
manmade,textile,camo_canvas_2,309.2
manmade,textile,fall_woodland_camo_1,360.9
manmade,textile,fall_woodland_camo_2,299.5
manmade,textile,green_canvas_1,311.2
manmade,textile,green_canvas_2,307.7
manmade,textile,green_cotton_1,360.9
manmade,textile,green_kevlar_1,287.4
manmade,textile,green_nylon_1,283.4
manmade,textile,nylon_poncho_1,312.2
manmade,textile,nylon_poncho_2,309.9
manmade,textile,tyvek_1,299.2
manmade,textile,white_drop_cloth_1,323.7
manmade,textile,white_drop_cloth_2,305.9
manmade,textile,white_drop_cloth_3,360.9
manmade,textile,white_drop_cloth_4,360.9
manmade,textile,white_drop_cloth_5,360.9
manmade,textile,white_polyester_1,305.3
manmade,textile,white_polyester_2,303.8
manmade,textile,white_polyester_3,296.6
manmade,textile,woven_monofilament_netting_1,300.8
manmade,textile,yellow_canvas_1,300.4
manmade,wood,plywood_1,308.8
manmade,wood,plywood_2,308.8
natural,geologic,anthracite_coal_1,318.9
natural,geologic,bituminous_coal_1,315.8
natural,geologic,concrete_1,308.9
natural,geologic,concrete_2,306.5
natural,geologic,dolomite_1,300.8
natural,geologic,dolomitic_limestone_1,293.2
natural,geologic,dolomitic_limestone_2,331.2
natural,geologic,lignite_coal_1,313.3
natural,geologic,limestone_1,308.8
natural,geologic,marble_chips_1,310.3
natural,geologic,marble_chips_2,300.8
natural,geologic,marble_chips_3,298.1
natural,geologic,quartzite_1,312.4
natural,geologic,sub_bituminous_coal_1,330.4
natural,other,human_skin_1,308.1
natural,other,ice_water_1,271.3
natural,other,ice_water_2,271.1
natural,other,water_1,297.2
natural,soil,background_soil_1,310.4
natural,soil,background_soil_2,300.3
natural,soil,background_soil_dew_1,294.5
natural,soil,background_soil_wet_1,296.5
natural,soil,coarse_sand_1,321.0
natural,soil,coarse_sand_oil_1,322.2
natural,soil,fine_sand_1,315.4
natural,soil,fine_sand_oil_1,320.6
natural,soil,fine_silt_1,320.1
natural,soil,gravel_1,325.3
natural,soil,gravel_2,299.4
natural,soil,gravel_3,316.5
natural,soil,loose_road_1,312.1
natural,soil,loose_road_2,315.5
natural,soil,play_sand_1,312.3
natural,soil,play_sand_2,316.9
natural,soil,play_sand_3,309.9
natural,soil,play_sand_4,302.9
natural,soil,playa_1,291.1
natural,soil,playa_2,296.2
natural,soil,playa_3,297.2
natural,soil,playa_4,297.9
natural,soil,quartz_sand_1,360.9
natural,soil,road_1,331.8
natural,soil,road_2,312.6
natural,soil,road_3,310.4
natural,soil,road_4,299.2
natural,soil,road_5,318.0
natural,soil,road_6,310.4
natural,soil,road_7,310.2
natural,soil,sand_2,325.8
natural,soil,sand_3,312.0
natural,soil,sand_4,313.5
natural,soil,tuft_fresh_1,297.8
natural,soil,tuft_weathered_1,301.7
natural,soils,sand_1,316.1
natural,vegetation,bush_1,304.8
natural,vegetation,canopy_debris_1,360.9
natural,vegetation,canopy_debris_dew_1,360.9
natural,vegetation,grass_1,323.8
natural,vegetation,grass_dew_1,295.9
natural,vegetation,ironwood_needles_1,296.9
natural,vegetation,plants_1,360.9
natural,vegetation,plants_dew_1,294.3
natural,vegetation,waxy_leaf_1,299.2
